"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2016-03-14 00:03:24",366695940,41.16398,-73.17330,349.1,0.1,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 00:04:52",367594190,40.66842,-74.00226,286.3,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 00:04:53",367587440,40.64168,-74.12083,193.5,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 00:04:54",367506050,40.63871,-74.04777,188.5,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 00:04:55",366238710,40.73265,-73.96605,340.4,8.1,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 00:05:00",305599000,39.91647,-75.13424,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 00:13:19",229206000,40.64592,-74.09552,205.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 01:02:08",305599000,39.91642,-75.13426,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 01:04:19",229206000,40.64593,-74.09558,156.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 01:04:35",366238710,40.80210,-73.83508,79.5,10.3,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 01:04:43",367587440,40.64164,-74.12078,200.8,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 01:04:51",367594190,40.66842,-74.00226,194.7,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 01:04:54",367506050,40.63948,-74.04858,339.8,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 01:24:44",367563930,41.19554,-73.94142,336.0,8.6,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 02:01:18",229206000,40.64588,-74.09550,210.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
"2016-03-14 02:02:04",305599000,39.91643,-75.13424,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 02:04:03",367563930,41.27995,-73.95176,45.2,9.0,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 02:04:51",367594190,40.66840,-74.00227,214.8,0.0,511,9665504,"TANGIER ISLAND","WDH2080",52,0,0,0,0,4.3,"NEWYORK","01-02 21:00"
"2016-03-14 02:04:54",367587440,40.64171,-74.12078,144.4,0.0,511,5108182,"PELHAM","WDG9405",52,8,19,4,4,2.0,"NEW YORK","11-14 20:00"
"2016-03-14 02:04:54",367506050,40.64240,-74.04775,291.1,0.0,511,9569475,"HUNTING CREEK","WDF9526",31,6,25,7,3,4.3,"NEW YORK","07-25 00:00"
"2016-03-14 02:38:27",366695940,41.16509,-73.17411,347.3,0.0,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 02:44:55",366238710,40.94618,-73.55562,63.9,9.7,511,8993368,"DACE REINAUER","WCW8843",22,8,33,5,6,4.2,"NEW HAVEN","03-14 04:30"
"2016-03-14 03:02:08",305599000,39.91648,-75.13423,206.2,0.0,511,9489974,"MARCOLORADO","V2EY5",70,155,30,10,20,7.3,"PHILADELPHIA","02-29 14:00"
"2016-03-14 03:02:28",366695940,41.16526,-73.17409,339.7,0.1,511,7203302,"ZACHERY REINAUER","WCU4692",57,9,21,5,3,5.0,"BLACKROCK,CT.","03-14 04:00"
"2016-03-14 03:02:57",367563930,41.39777,-73.94991,320.3,5.9,511,9653264,"DEAN REINAUER","WDG7107",80,128,24,12,12,6.5,"HYDE PARK ANCH","03-14 02:00"
"2016-03-14 03:04:16",229206000,40.64587,-74.09552,210.0,0.0,511,9240811,"M/V AGHIA SKEPI","9HA3149",70,163,27,20,12,11.8,"NEW YORK","03-11 03:00"
