DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
2016-04-14 00:00:48,246739000,36.47460,16.57737,97.0,10.4,511,9342140,BALTICDIEP,PCFD,70,92,15,8,8,5.2,IZMIR,04-16 08:00
2016-04-14 00:02:08,247293900,36.51907,17.13599,93.5,13.3,511,9480382,KING ARTHUR,IBAI,81,80,23,5,11,5.9, ALIAGA,04-15 20:00
2016-04-14 00:04:43,249988000,36.45148,17.58843,267.0,11.1,511,9136838,YASEMIN,9HA2114,70,84,21,8,8,7.3,RADES,04-14 07:00
2016-04-14 00:04:45,671504000,36.50538,16.55243,272.0,7.5,511,8104591,GULF RIVER,5VCW4,70,70,18,6,6,3.7,DJEN_DJEN,04-14 12:00
2016-04-14 00:04:48,304014000,36.47176,17.08231,270.0,9.2,511,9432517,WES MONICA,V2GN6,79,98,10,7,11,7.3,MONTOIR VIA CEUTA,04-22 20:00
2016-04-14 00:04:52,538003887,36.41045,16.51793,271.7,11.4,511,9189677,MAESTRO TIGER,V7TU8,70,145,26,14,13,6.0,ROTTERDAM,04-23 08:00
2016-04-14 00:04:52,247318400,36.74730,16.43382,118.2,11.9,511,9438949,IVER BITUMEN,ICOJ,80,90,19,10,8,7.3,ALEXANDRIA,04-16 12:00
2016-04-14 00:04:52,273381900,36.88772,16.40255,235.6,9.9,511,9752498,GABDULLA TUKAY,UBUN2,82,121,19,16,1,3.8,MALTA,04-14 19:00
2016-04-14 00:04:53,538002689,36.51928,17.70037,266.0,10.7,511,8909094,ARCANGELO,V7KW6,71,138,28,12,15,8.4,VALENCIA>SPAIN,04-17 08:00
2016-04-14 00:04:54,372246000,36.83669,16.86900,68.7,11.9,511,9454187,NORD TRUST,3EXC6,70,162,28,20,12,11.1,GRSTN,04-15 04:00
2016-04-14 00:04:56,240047000,36.47119,16.73424,270.0,6.8,511,8518168,EUROPE,SY3511,32,10,26,5,5,5.3,GIBRALTAR,04-20 06:00
2016-04-14 00:04:57,271000662,37.54376,17.19640,105.0,20.5,511,9242390,UND BIRLIK,TCCA6,71,125,68,7,19,5.8,ISTANBUL/TURKEY,04-15 15:00
2016-04-14 00:04:57,538006248,36.94734,16.66831,253.9,9.7,511,9554145,UGUR DADAYLI,V7LA8,70,78,16,3,11,6.5,GABES,04-15 17:00
2016-04-14 00:04:58,477699600,36.43307,17.13625,90.6,15.1,511,9630418,HANJIN GWANSEUM,VRNY4,74,244,93,31,17,13.2,PIRAEUS,04-15 04:00
2016-04-14 00:05:00,371024000,37.38585,17.55850,281.4,9.1,511,9180968,MSC SHEILA,3EAZ,70,133,17,16,7,5.9,GIOIA TAURO,04-14 11:00
